"mz","intensity"
57.074,0.02
65.044,0.02
67.023,0.02
77.043,0.02
81.038,0.02
84.965,0.05
91.06,0.16
107.056,0.05
111.051,0.02
119.055,0.09
121.037,0.02
123.051,0.05
124.022,0.02
131.057,0.03
135.051,0.05
137.031,0.02
141.077,0.05
145.037,0.13
151.046,0.03
152.072,0.02
153.079,0.02
158.084,0.03
159.052,0.09
159.089,0.02
163.049,0.18
164.054,0.05
167.044,0.46
168.044,0.04
168.063,0.07
169.075,0.09
170.077,0.02
173.103,0.02
179.042,0.06
183.089,0.06
186.077,0.06
187.05,0.03
187.087,0.02
196.062,0.05
197.069,0.07
198.077,0.04
201.102,0.06
211.088,0.09
213.066,0.03
214.075,0.11
215.081,0.03
224.06,0.1
225.065,0.05
226.075,0.03
229.099,0.48
230.103,0.09
239.084,0.02
241.063,0.03
242.071,0.45
243.075,0.1
252.054,0.04
253.064,0.02
257.096,0.26
258.099,0.05
267.082,0.11
268.082,0.02
270.068,0.11
271.073,0.02
285.092,1
286.095,0.2
287.098,0.03
